Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,507.103431871987
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,5353.2448564014
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,3973.96407191565
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,40886.3911648431
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,2790.72661520665
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,17112.8211347326
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,9912.28180859803
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,4622.73349328671
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,55060.3261005013
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,50137.6627762476
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,4793.58701966989
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,34863.7420984795
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,23503.977126673
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,1855.73982408046
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,18148.2449264001
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,6663.29529282582
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,46420.6637668061
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,4815.1637107951
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,1219.43267185875
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,117089.286273037
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,3316.17571350084
